CompanyId,CompanyName,Followers,CurrentStockPrice,CurrentGrowthRate,PredictedStockPrice,PredictedGrowthRate,,,,,,,
AUB,Atlantic Union Bankshares Corporation Common Stock,78,33.17,-1.426%,33.17,-1.426%,,,,,,,
AUR,Aurora Innovation Inc. Class A Common Stock,43,2.06,-6.787%,2.06,-6.787%,,,,,,,
AVA,Avista Corporation Common Stock,12,38.88,0.051%,38.88,0.051%,,,,,,,
AVB,AvalonBay Communities Inc. Common Stock,45,173.35,-2.481%,173.35,-2.481%,,,,,,,
AVGO,Broadcom Inc. Common Stock,31,435.3,0.108%,435.3,0.108%,,,,,,,
AVNT,Avient Corporation Common Stock,97,32.89,-3.008%,32.89,-3.008%,,,,,,,
AVT,Avnet Inc. Common Stock,58,38.5,-0.568%,38.5,-0.568%,,,,,,,
AVY,Avery Dennison Corporation Common Stock,31,171.27,-1.109%,171.27,-1.109%,,,,,,,
AWI,Armstrong World Industries Inc Common Stock,80,79.37,-4.085%,79.37,-4.085%,,,,,,,
AWK,American Water Works Company Inc. Common Stock,92,134,-0.571%,134,-0.571%,,,,,,,
AWR,American States Water Company Common Stock,24,86.12,-1.295%,86.12,-1.295%,,,,,,,
AX,Axos Financial Inc. Common Stock,45,36.7,-3.421%,36.7,-3.421%,,,,,,,
AXNX,Axonics Inc. Common Stock,60,68.2,-3.029%,68.2,-3.029%,,,,,,,
AXON,Axon Enterprise Inc. Common Stock,29,124.35,-2.973%,124.35,-2.973%,,,,,,,
AXP,American Express Company Common Stock,71,143.97,-1.384%,143.97,-1.384%,,,,,,,
AXTA,Axalta Coating Systems Ltd. Common Shares,24,22.93,-1.715%,22.93,-1.715%,,,,,,,
AYI,Acuity Brands Inc. ,16,171.77,-1.857%,171.77,-1.857%,,,,,,,
AYX,Alteryx Inc. Class A Common Stock,89,49.26,-4.756%,49.26,-4.756%,,,,,,,
AZEK,The AZEK Company Inc. Class A Common Stock,2,15.56,-6.771%,15.56,-6.771%,,,,,,,
AZO,AutoZone Inc. Common Stock,19,2289.8,-0.74%,2289.8,-0.74%,,,,,,,
AZPN,Aspen Technology Inc. Common Stock,34,248.89,-1.625%,248.89,-1.625%,,,,,,,
AZTA,Azenta Inc.,65,40.06,1.034%,40.06,1.034%,,,,,,,
BA,Boeing Company (The) Common Stock,23,138.39,0.765%,138.39,0.765%,,,,,,,
BAC,Bank of America Corporation Common Stock,7,33.92,-2.752%,33.92,-2.752%,,,,,,,
BAH,Booz Allen Hamilton Holding Corporation Common Stock,65,98.62,-2.24%,98.62,-2.24%,,,,,,,
BALL,Ball Corporation Common Stock,31,48.94,-2.374%,48.94,-2.374%,,,,,,,
BANF,BancFirst Corporation Common Stock,93,94.23,-0.286%,94.23,-0.286%,,,,,,,
BANR,Banner Corporation Common Stock,68,66.78,-1.125%,66.78,-1.125%,,,,,,,
BAX,Baxter International Inc. Common Stock,89,55.32,-0.504%,55.32,-0.504%,,,,,,,
BBWI,Bath & Body Works Inc.,23,32.91,-2.373%,32.91,-2.373%,,,,,,,
BBY,Best Buy Co. Inc. Common Stock,22,63.74,-4.237%,63.74,-4.237%,,,,,,,
BC,Brunswick Corporation Common Stock,100,67.3,-3.04%,67.3,-3.04%,,,,,,,
BCC,Boise Cascade L.L.C. Common Stock,54,60.84,-2.982%,60.84,-2.982%,,,,,,,
BCO,Brinks Company (The) Common Stock,33,57.95,-0.43%,57.95,-0.43%,,,,,,,
BCPC,Balchem Corporation Common Stock,43,131.86,-0.551%,131.86,-0.551%,,,,,,,
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,21,13.53,-2.028%,13.53,-2.028%,,,,,,,
BDC,Belden Inc Common Stock,37,63.8,-0.669%,63.8,-0.669%,,,,,,,
BDX,Becton Dickinson and Company Common Stock,34,225.47,-2.237%,225.47,-2.237%,,,,,,,
BEAM,Beam Therapeutics Inc. Common Stock,77,44.85,-6.66%,44.85,-6.66%,,,,,,,
BECN,Beacon Roofing Supply Inc. Common Stock,31,53.56,-3.825%,53.56,-3.825%,,,,,,,
BEN,Franklin Resources Inc. Common Stock,78,22.25,-1.199%,22.25,-1.199%,,,,,,,
BERY,Berry Global Group Inc. Common Stock,8,47.44,-1.821%,47.44,-1.821%,,,,,,,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,39,58.35,-1.118%,58.35,-1.118%,,,,,,,
BG,Bunge Limited Bunge Limited,41,90.6,1.456%,90.6,1.456%,,,,,,,
BHF,Brighthouse Financial Inc. Common Stock,3,50.57,-1.653%,50.57,-1.653%,,,,,,,
BIIB,Biogen Inc. Common Stock,51,264.45,-2.157%,264.45,-2.157%,,,,,,,
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,47,385.23,-5.277%,385.23,-5.277%,,,,,,,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,10,71.94,-0.991%,71.94,-0.991%,,,,,,,
BK,The Bank of New York Mellon Corporation Common Stock,17,39.02,-2.352%,39.02,-2.352%,,,,,,,
BKH,Black Hills Corporation Common Stock,3,62.98,-1.839%,62.98,-1.839%,,,,,,,
BKNG,Booking Holdings Inc. Common Stock,86,1771.82,-0.121%,1771.82,-0.121%,,,,,,,
BKR,Baker Hughes Company Class A Common Stock,38,25.65,6.079%,25.65,6.079%,,,,,,,
BKU,BankUnited Inc. Common Stock,48,35.77,-1.379%,35.77,-1.379%,,,,,,,
BL,BlackLine Inc. Common Stock,55,55.48,-9.034%,55.48,-9.034%,,,,,,,
BLD,TopBuild Corp. Common Stock,53,160.16,-6.356%,160.16,-6.356%,,,,,,,
BLDR,Builders FirstSource Inc. Common Stock,64,56.34,-7.106%,56.34,-7.106%,,,,,,,
BLK,BlackRock Inc. Common Stock,87,577.9,-0.544%,577.9,-0.544%,,,,,,,
BLKB,Blackbaud Inc. Common Stock,83,52.56,-2.558%,52.56,-2.558%,,,,,,,
BMBL,Bumble Inc. Class A Common Stock,92,21.23,-5.476%,21.23,-5.476%,,,,,,,
BMI,Badger Meter Inc. Common Stock,97,100.36,3.496%,100.36,3.496%,,,,,,,
BMRN,BioMarin Pharmaceutical Inc. Common Stock,24,88.35,-1.274%,88.35,-1.274%,,,,,,,
BMY,Bristol-Myers Squibb Company Common Stock,6,71.14,-0.836%,71.14,-0.836%,,,,,,,
BNL,Broadstone Net Lease Inc. Common Stock,7,15.82,-3.478%,15.82,-3.478%,,,,,,,
BOH,Bank of Hawaii Corporation Common Stock,21,78.06,-1.663%,78.06,-1.663%,,,,,,,
BOKF,BOK Financial Corporation Common Stock,84,96.89,-0.778%,96.89,-0.778%,,,,,,,
BOX,Box Inc. Class A Common Stock,19,27.32,-0.582%,27.32,-0.582%,,,,,,,
BPMC,Blueprint Medicines Corporation Common Stock,91,49.89,-4.553%,49.89,-4.553%,,,,,,,
BPOP,Popular Inc. Common Stock,98,73.44,-2.716%,73.44,-2.716%,,,,,,,
BR,Broadridge Financial Solutions Inc. Common Stock,60,143.5,-1.415%,143.5,-1.415%,,,,,,,
BRBR,BellRing Brands Inc. Common Stock ,53,21.31,-5.875%,21.31,-5.875%,,,,,,,
BRC,Brady Corporation Common Stock,39,43,-0.44%,43,-0.44%,,,,,,,
BRK/A,Berkshire Hathaway Inc.,14,421610,-1.60%,421610,-1.60%,,,,,,,
BRK/B,Berkshire Hathaway Inc.,3,278.34,-1.182%,278.34,-1.182%,,,,,,,
BRKR,Bruker Corporation Common Stock,91,56.22,-2.582%,56.22,-2.582%,,,,,,,
BRO,Brown & Brown Inc. Common Stock,37,62.9,1.19%,62.9,1.19%,,,,,,,
BRZE,Braze Inc. Class A Common Stock,52,29.1,-5.764%,29.1,-5.764%,,,,,,,
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,67,17.55,2.035%,17.55,2.035%,,,,,,,
BSX,Boston Scientific Corporation Common Stock,88,40.96,-0.292%,40.96,-0.292%,,,,,,,
BSY,Bentley Systems Incorporated Class B Common Stock,61,33.31,-0.745%,33.31,-0.745%,,,,,,,
BTU,Peabody Energy Corporation Common Stock ,37,24.31,-8.506%,24.31,-8.506%,,,,,,,
BWA,BorgWarner Inc. Common Stock,14,34.07,-0.117%,34.07,-0.117%,,,,,,,
BWXT,BWX Technologies Inc. Common Stock,100,54.66,-0.237%,54.66,-0.237%,,,,,,,
BX,Blackstone Inc. Common Stock,9,87.74,-2.641%,87.74,-2.641%,,,,,,,
BXMT,Blackstone Mortgage Trust Inc. Common Stock,59,22.97,-2.255%,22.97,-2.255%,,,,,,,
BXP,Boston Properties Inc. Common Stock,40,71.82,-3.468%,71.82,-3.468%,,,,,,,
BYD,Boyd Gaming Corporation Common Stock,25,52.01,-2.858%,52.01,-2.858%,,,,,,,
C,Citigroup Inc. Common Stock,15,43.34,-1.835%,43.34,-1.835%,,,,,,,
CABO,Cable One Inc. Common Stock,3,779.9,-1.699%,779.9,-1.699%,,,,,,,
CACC,Credit Acceptance Corporation Common Stock,52,419.67,-6.75%,419.67,-6.75%,,,,,,,
CACI,CACI International Inc. Class A Common Stock,32,261.93,-0.889%,261.93,-0.889%,,,,,,,
CADE,Cadence Bank Common Stock,7,28.2,-1.674%,28.2,-1.674%,,,,,,,
CAG,ConAgra Brands Inc. Common Stock,60,34.93,0.00%,34.93,0.00%,,,,,,,
CAH,Cardinal Health Inc. Common Stock,86,70.8,0.198%,70.8,0.198%,,,,,,,
CALM,Cal-Maine Foods Inc. Common Stock,38,60.68,1.795%,60.68,1.795%,,,,,,,
CALX,Calix Inc Common Stock,14,60.39,-1.243%,60.39,-1.243%,,,,,,,
CAR,Avis Budget Group Inc. Common Stock,37,180.2,-2.574%,180.2,-2.574%,,,,,,,
CASY,Casey's General Stores Inc. Common Stock,57,210.53,-0.35%,210.53,-0.35%,,,,,,,
CAT,Caterpillar Inc. Common Stock,40,184.41,0.469%,184.41,0.469%,,,,,,,
CATY,Cathay General Bancorp Common Stock,100,43.3,-1.074%,43.3,-1.074%,,,,,,,
CBRE,CBRE Group Inc Common Stock Class A,72,67.83,-3.472%,67.83,-3.472%,,,,,,,
CBRL,Cracker Barrel Old Country Store Inc Common Stock,90,99.71,-0.756%,99.71,-0.756%,,,,,,,
CBSH,Commerce Bancshares Inc. Common Stock,45,69.64,-1.29%,69.64,-1.29%,,,,,,,
CBT,Cabot Corporation Common Stock,46,67.39,-2.092%,67.39,-2.092%,,,,,,,
CBU,Community Bank System Inc. Common Stock,21,63.14,-1.189%,63.14,-1.189%,,,,,,,
CBZ,CBIZ Inc. Common Stock,41,46.06,1.009%,46.06,1.009%,,,,,,,
CC,Chemours Company (The) Common Stock,72,28.77,-1.337%,28.77,-1.337%,,,,,,,
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,3,8.6,-2.162%,8.6,-2.162%,,,,,,,
CCI,Crown Castle Inc. Common Stock,87,130.7,-2.009%,130.7,-2.009%,,,,,,,
CCK,Crown Holdings Inc.,21,83.08,-2.063%,83.08,-2.063%,,,,,,,
CCL,Carnival Corporation Common Stock,9,7.68,-4.95%,7.68,-4.95%,,,,,,,
CCOI,Cogent Communications Holdings Inc.,52,51.19,-2.104%,51.19,-2.104%,,,,,,,
CCXI,ChemoCentryx Inc. Common Stock,94,51.99,0.058%,51.99,0.058%,,,,,,,
CDAY,Ceridian HCM Holding Inc. Common Stock,74,56.84,-2.538%,56.84,-2.538%,,,,,,,
CDNS,Cadence Design Systems Inc. Common Stock,69,153.72,-1.183%,153.72,-1.183%,,,,,,,
CDW,CDW Corporation Common Stock,73,159.47,-1.061%,159.47,-1.061%,,,,,,,
CE,Celanese Corporation Celanese Corporation Common Stock,5,92.59,-2.444%,92.59,-2.444%,,,,,,,
CEG,Constellation Energy Corporation Common Stock ,63,85.69,-0.948%,85.69,-0.948%,,,,,,,
CELH,Celsius Holdings Inc. Common Stock,92,84.79,-5.082%,84.79,-5.082%,,,,,,,
CENT,Central Garden & Pet Company Common Stock,78,37.72,-1.54%,37.72,-1.54%,,,,,,,
CEQP,Crestwood Equity Partners LP,37,30.26,1.748%,30.26,1.748%,,,,,,,
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,33,25.75,-5.191%,25.75,-5.191%,,,,,,,
CF,CF Industries Holdings Inc. Common Stock,87,100.66,0.419%,100.66,0.419%,,,,,,,
CFG,Citizens Financial Group Inc. Common Stock,7,36.72,-0.596%,36.72,-0.596%,,,,,,,
CFLT,Confluent Inc. Class A Common Stock,19,23.44,-5.408%,23.44,-5.408%,,,,,,,
CFR,Cullen/Frost Bankers Inc. Common Stock,18,145.07,-2.303%,145.07,-2.303%,,,,,,,
CG,The Carlyle Group Inc. Common Stock,70,25.9,-3.646%,25.9,-3.646%,,,,,,,
CGNX,Cognex Corporation Common Stock,84,43.45,-1.874%,43.45,-1.874%,,,,,,,
CHD,Church & Dwight Company Inc. Common Stock,76,73.62,-0.298%,73.62,-0.298%,,,,,,,
CHDN,Churchill Downs Incorporated Common Stock,100,198.98,-1.971%,198.98,-1.971%,,,,,,,
CHE,Chemed Corp,85,451.65,-0.725%,451.65,-0.725%,,,,,,,
CHH,Choice Hotels International Inc. Common Stock,39,123.43,-0.387%,123.43,-0.387%,,,,,,,
CHK,Chesapeake Energy Corporation Common Stock,51,99.53,1.056%,99.53,1.056%,,,,,,,
CHPT,ChargePoint Holdings Inc. Common Stock,24,12.99,-5.044%,12.99,-5.044%,,,,,,,
CHRD,Chord Energy Corporation Common Stock,100,151.71,1.915%,151.71,1.915%,,,,,,,
CHRW,C.H. Robinson Worldwide Inc. Common Stock,54,93.45,-2.859%,93.45,-2.859%,,,,,,,
CHTR,Charter Communications Inc. Class A Common Stock New,13,324.65,-1.283%,324.65,-1.283%,,,,,,,
CHX,ChampionX Corporation Common Stock ,14,23.09,4.009%,23.09,4.009%,,,,,,,
CI,Cigna Corporation Common Stock,27,293.08,-0.225%,293.08,-0.225%,,,,,,,
CIEN,Ciena Corporation Common Stock,54,41.03,-0.654%,41.03,-0.654%,,,,,,,
CINF,Cincinnati Financial Corporation Common Stock,62,101.04,-0.541%,101.04,-0.541%,,,,,,,
CIVI,Civitas Resources Inc. Common Stock,27,68.79,3.226%,68.79,3.226%,,,,,,,
CL,Colgate-Palmolive Company Common Stock,84,71.75,-1.604%,71.75,-1.604%,,,,,,,
CLBK,Columbia Financial Inc. Common Stock,46,22.08,0.227%,22.08,0.227%,,,,,,,
CLF,Cleveland-Cliffs Inc. Common Stock,66,14.82,-2.243%,14.82,-2.243%,,,,,,,
CLH,Clean Harbors Inc. Common Stock,81,117.45,-1.261%,117.45,-1.261%,,,,,,,
CLR,Continental Resources Inc. Common Stock,48,73.57,-0.149%,73.57,-0.149%,,,,,,,
CLX,Clorox Company (The) Common Stock,17,136.87,1.273%,136.87,1.273%,,,,,,,
CMA,Comerica Incorporated Common Stock,18,67.65,-8.999%,67.65,-8.999%,,,,,,,
CMC,Commercial Metals Company Common Stock,77,42.5,-1.598%,42.5,-1.598%,,,,,,,
CMCSA,Comcast Corporation Class A Common Stock,80,30.39,-1.171%,30.39,-1.171%,,,,,,,
CME,CME Group Inc. Class A Common Stock,83,172.8,-0.838%,172.8,-0.838%,,,,,,,
CMG,Chipotle Mexican Grill Inc. Common Stock,92,1527.21,-1.087%,1527.21,-1.087%,,,,,,,
CMI,Cummins Inc. Common Stock,97,224.76,0.366%,224.76,0.366%,,,,,,,
CMS,CMS Energy Corporation Common Stock,7,55.63,-1.644%,55.63,-1.644%,,,,,,,
CNA,CNA Financial Corporation Common Stock,43,40.17,0.702%,40.17,0.702%,,,,,,,
CNC,Centene Corporation Common Stock,48,75.72,0.531%,75.72,0.531%,,,,,,,
CNMD,CONMED Corporation Common Stock,64,78.68,-2.455%,78.68,-2.455%,,,,,,,
CNO,CNO Financial Group Inc. Common Stock,83,19.88,-1.045%,19.88,-1.045%,,,,,,,
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,21,27,0.148%,27,0.148%,,,,,,,
CNS,Cohen & Steers Inc Common Stock,30,57.68,-1.738%,57.68,-1.738%,,,,,,,
CNX,CNX Resources Corporation Common Stock,95,18.1,0.948%,18.1,0.948%,,,,,,,
CNXC,Concentrix Corporation Common Stock,15,118.11,-2.958%,118.11,-2.958%,,,,,,,
COF,Capital One Financial Corporation Common Stock,33,95.23,-4.378%,95.23,-4.378%,,,,,,,
COHR,Coherent Corp. Common Stock,59,31.3,-1.85%,31.3,-1.85%,,,,,,,
COIN,Coinbase Global Inc. Class A Common Stock,88,63.19,-4.561%,63.19,-4.561%,,,,,,,
COKE,Coca-Cola Consolidated Inc. Common Stock,83,441.54,-0.708%,441.54,-0.708%,,,,,,,
